560.0
4/4
FullName,CommonName,Len,Offset
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,16.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,60.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,61.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,62.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,63.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,64.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,65.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,66.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,67.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,68.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,69.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,70.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,71.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,72.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,73.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,74.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,75.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,76.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,77.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,78.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,79.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,80.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,81.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,82.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,83.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,84.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,85.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,86.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,87.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,88.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,89.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,90.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,91.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,92.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,93.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,94.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,95.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,96.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,97.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,98.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,99.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,100.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,101.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,102.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,103.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,104.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,105.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,106.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,107.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,108.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,109.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,110.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,111.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,112.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,113.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,114.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,115.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,116.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,117.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,118.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,119.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,120.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,121.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,122.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,123.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,124.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,125.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,126.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,127.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,128.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,129.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,130.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,131.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,132.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,133.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,134.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,135.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,136.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,137.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,138.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,139.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,140.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,141.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,208.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,209.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,210.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,211.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,212.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,213.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,214.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,215.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,216.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,217.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,218.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,219.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,220.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,221.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,222.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,223.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,224.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,225.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,226.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,227.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,228.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,229.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,230.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,231.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,232.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,233.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,234.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,235.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,236.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,237.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,238.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,239.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,240.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,241.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,242.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,243.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,244.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,245.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,246.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,247.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,248.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,249.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,250.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,251.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,252.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,253.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,254.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,255.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,256.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,257.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,258.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,259.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,260.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,261.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,262.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,263.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,264.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,265.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,266.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,267.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,268.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,269.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,270.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,271.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,272.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,273.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,274.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,275.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,276.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,277.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,278.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,279.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,280.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,281.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,282.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,283.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,284.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,285.5
Chord {G-sharp in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-minor triad,0.5,286.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,287.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,288.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,289.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,290.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,291.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,292.5
Chord {E-flat in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,293.5
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} Eighth,C#4-minor triad,0.5,294.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,295.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,296.5
Chord {G-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,A3-incomplete major-seventh chord,0.5,297.5
Chord {F-sharp in octave 3 | A in octave 3 | C-sharp in octave 4} Eighth,F#3-minor triad,0.5,298.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,299.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,300.5
Chord {B-flat in octave 3 | B in octave 3 | E-flat in octave 4} Eighth,E-4-incomplete major-seventh chord,0.5,301.5
Chord {G-sharp in octave 4 | E in octave 4 | B in octave 3} Breve,E4-major triad,8.0,368.0
Chord {F-sharp in octave 4 | E-flat in octave 4 | B in octave 3} Breve,E-4-major triad,8.0,376.0
Chord {G in octave 4 | E-flat in octave 4 | D in octave 4} Breve,E-4-incomplete major-seventh chord,8.0,384.0
Chord {B-flat in octave 3 | F in octave 4 | D in octave 4} Breve,B-3-major triad,8.0,392.0
Chord {A in octave 3 | D in octave 4 | F-sharp in octave 4} Breve,D4-major triad,8.0,400.0
Chord {A in octave 3 | C-sharp in octave 4 | E in octave 4 | A in octave 4} Breve,A3-major triad,8.0,408.0
Chord {C in octave 4 | C-sharp in octave 4 | F in octave 4} Breve,F4-incomplete major-seventh chord,8.0,416.0
