4/4
Chord {C-sharp in octave 4 | G in octave 3 | C in octave 4} Whole Tuplet of 12/11ths (3 2/3 QL),C#4-tritone-fourth,11/3,10.0
Chord {E in octave 4 | G in octave 4} Quarter,E4-interval class 3,1.0,71.5
Chord {B-flat in octave 4 | C-sharp in octave 5} Quarter tied to 16th (1 1/4 total QL),C#5-interval class 3,1.25,71.5
Chord {F-sharp in octave 4 | B-flat in octave 4 | C-sharp in octave 4 | G in octave 3} Dotted Eighth,G3-major-diminished tetrachord,0.75,75.5
Chord {B in octave 4 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 4,1/3,78.5
Chord {C-sharp in octave 4 | G in octave 3} 16th,C#4-tritone,0.25,78.5
Chord {B-flat in octave 4 | B in octave 3 | B in octave 4} Eighth,B-4-interval class 1,0.5,84.25
Chord {B in octave 3 | D in octave 4} Eighth,B3-interval class 3,0.5,88.5
Chord {B in octave 4 | D in octave 4 | G in octave 4} Quarter Triplet (2/3 QL),G4-major triad,2/3,88.5
Chord {B-flat in octave 4 | C-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),C#4-interval class 3,1.25,89.75
Chord {C-sharp in octave 5 | F-sharp in octave 4 | G-sharp in octave 3} Quarter Triplet (2/3 QL),F#4-quartal trichord,2/3,274/3
Chord {C-sharp in octave 4 | F-sharp in octave 4 | B-flat in octave 4 | G-sharp in octave 3} Eighth,G#3-major-second major tetrachord,0.5,274/3
Chord {B in octave 4 | D in octave 4 | B-flat in octave 2} Eighth Triplet (1/3 QL),B4-major-minor trichord,1/3,92.25
Chord {G-sharp in octave 3 | B-flat in octave 2} 16th,G#3-interval class 2,0.25,92.25
Chord {C-sharp in octave 4 | F-sharp in octave 4} Quarter,F#4-interval class 5,1.0,93.25
Chord {G-sharp in octave 4 | F-sharp in octave 4} Half tied to Eighth (2 1/2 total QL),G#4-interval class 2,2.5,298/3
Chord {G-sharp in octave 4 | G-sharp in octave 3} Eighth Triplet (1/3 QL),G#4-unison,1/3,104.0
Chord {B-flat in octave 4 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,106.0
Chord {B-flat in octave 4 | F-sharp in octave 4 | G-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),G#3-whole-tone trichord,1.25,108.0
Chord {E in octave 4 | B in octave 3} Dotted Eighth,E4-interval class 5,0.75,111.5
Chord {C-sharp in octave 4 | B in octave 3} Dotted Eighth,C#4-interval class 2,0.75,111.5
Chord {A in octave 5 | E in octave 3} Eighth Triplet (1/3 QL),A5-interval class 5,1/3,113.0
Chord {C-sharp in octave 4 | G in octave 3} Dotted Eighth,C#4-tritone,0.75,343/3
Chord {F-sharp in octave 4 | G in octave 3} Dotted Eighth,G3-interval class 1,0.75,343/3
Chord {C-sharp in octave 4 | B in octave 3} Quarter,C#4-interval class 2,1.0,352/3
Chord {E in octave 4 | B in octave 3} Quarter,E4-interval class 5,1.0,352/3
Chord {A in octave 2 | E in octave 3} Eighth,A2-interval class 5,0.5,119.0
Chord {F-sharp in octave 3 | C-sharp in octave 4} Dotted Eighth,F#3-interval class 5,0.75,120.75
Chord {E in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),E4-interval class 5,2/3,121.0
Chord {A in octave 4 | B in octave 4} Zero,B4-interval class 2,0.0,122.0
Chord {F-sharp in octave 5 | B in octave 4} 16th,B4-interval class 5,0.25,122.5
Chord {G in octave 3 | B in octave 3} Zero,G3-interval class 4,0.0,370/3
Chord {D in octave 5 | G in octave 4 | B in octave 4} Eighth,G4-major triad,0.5,124.25
Chord {C-sharp in octave 5 | B in octave 4} Eighth,C#5-interval class 2,0.5,127.5
Chord {C-sharp in octave 4 | B in octave 3} Dotted Quarter,C#4-interval class 2,1.5,130.0
Chord {A in octave 2 | E in octave 3} Zero,A2-interval class 5,0.0,132.25
Chord {E in octave 4 | B in octave 3} Half Triplet (1 1/3 QL),E4-interval class 5,4/3,133.25
Chord {C-sharp in octave 4 | B in octave 3} Dotted Quarter,C#4-interval class 2,1.5,133.25
Chord {G in octave 3 | A in octave 3} Quarter,A3-interval class 2,1.0,136.75
Chord {C in octave 4 | A in octave 3} Quarter,A3-interval class 3,1.0,136.75
Chord {G-sharp in octave 4 | F in octave 4} 16th,G#4-interval class 3,0.25,140.0
Chord {D in octave 4 | F in octave 3 | F in octave 4} 16th,D4-interval class 3,0.25,140.0
Chord {B in octave 3 | F in octave 3} Zero,B3-tritone,0.0,140.25
Chord {E in octave 5 | E in octave 4 | G-sharp in octave 4 | B in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),E5-major-diminished tetrachord,2/3,141.0
Chord {E in octave 5 | F in octave 4} 16th,F4-interval class 1,0.25,425/3
Chord {G-sharp in octave 4 | B in octave 4} Eighth Triplet (1/3 QL),G#4-interval class 3,1/3,425/3
Chord {D in octave 5 | B in octave 4 | D in octave 4} Dotted Eighth,B4-interval class 3,0.75,142.5
Chord {D in octave 4 | E in octave 4} Double Dotted Quarter,E4-interval class 2,1.75,144.0
Chord {C in octave 6 | F in octave 5} 16th,F5-interval class 5,0.25,148.0
Chord {C in octave 6 | F in octave 5} Eighth Triplet (1/3 QL),F5-interval class 5,1/3,149.0
Chord {A in octave 5 | C in octave 5} Eighth Triplet (1/3 QL),A5-interval class 3,1/3,448/3
Chord {F in octave 4 | C in octave 4} Half tied to Eighth (2 1/2 total QL),F4-interval class 5,2.5,448/3
Chord {C in octave 6 | F in octave 5} Quarter tied to 16th (1 1/4 total QL),F5-interval class 5,1.25,149.75
Chord {C in octave 5 | F in octave 5} 16th,F5-interval class 5,0.25,151.0
Chord {A in octave 5 | F in octave 5} 16th,F5-interval class 4,0.25,151.0
Chord {G in octave 3 | C in octave 6 | F in octave 5 | C in octave 5} 16th,F5-quartal trichord,0.25,455/3
Chord {E in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),E4-interval class 5,1/3,152.25
Chord {D in octave 5 | G in octave 4} Quarter tied to 16th (1 1/4 total QL),G4-interval class 5,1.25,155.5
Chord {B in octave 4 | G in octave 4} Quarter,G4-interval class 4,1.0,155.5
Chord {D in octave 5 | G in octave 3} Eighth Triplet (1/3 QL),G3-interval class 5,1/3,473/3
Chord {B-flat in octave 4 | E in octave 4} Eighth,E4-tritone,0.5,159.25
Chord {F in octave 4 | G in octave 4} Quarter,G4-interval class 2,1.0,491/3
Chord {D in octave 4 | B in octave 4} 16th,B4-interval class 3,0.25,165.5
Chord {E in octave 5 | E in octave 3} Dotted Eighth,E5-unison,0.75,166.5
Chord {G in octave 4 | B in octave 4} 16th,G4-interval class 4,0.25,502/3
Chord {G in octave 4 | C in octave 5} Eighth Triplet (1/3 QL),C5-interval class 5,1/3,168.0
Chord {B-flat in octave 4 | F-sharp in octave 3} Eighth,B-4-interval class 4,0.5,535/3
Chord {C in octave 4 | B-flat in octave 5} Quarter Triplet (2/3 QL),C4-interval class 2,2/3,180.25
Chord {E-flat in octave 5 | G-sharp in octave 4 | B in octave 4 | C-sharp in octave 5} Dotted Eighth,C#5-perfect-fourth minor tetrachord,0.75,183.25
Chord {F in octave 4 | B in octave 3} Dotted Eighth,B3-tritone,0.75,183.25
Chord {G in octave 4 | B in octave 3 | D in octave 4 | D in octave 3} 16th,G4-major triad,0.25,185.0
Chord {G-sharp in octave 3 | D in octave 4 | D in octave 3} 16th,G#3-tritone,0.25,185.0
Chord {B in octave 4 | D in octave 4 | G-sharp in octave 4 | F in octave 4} 16th,G#4-diminished seventh chord,0.25,557/3
Chord {D in octave 5 | G in octave 4 | E-flat in octave 4} Dotted Eighth,E-4-incomplete major-seventh chord,0.75,187.25
Chord {C in octave 5 | G in octave 4} 16th,C5-interval class 5,0.25,188.25
Chord {E-flat in octave 3 | F in octave 4} Quarter Triplet (2/3 QL),F4-interval class 2,2/3,189.0
Chord {G-sharp in octave 4 | E in octave 4} Eighth,E4-interval class 4,0.5,191.5
Chord {G-sharp in octave 3 | C in octave 4} Quarter Triplet (2/3 QL),C4-interval class 4,2/3,193.25
Chord {G in octave 3 | C in octave 3} Eighth,C3-interval class 5,0.5,194.0
Chord {F in octave 4 | C in octave 4} Quarter,F4-interval class 5,1.0,200.0
Chord {B-flat in octave 5 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-5-unison,2/3,201.5
Chord {E in octave 4 | B in octave 3} Dotted Eighth,E4-interval class 5,0.75,201.5
Chord {G-sharp in octave 5 | G-sharp in octave 4} Eighth,G#5-unison,0.5,607/3
Chord {G in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),G5-unison,1/3,203.25
Chord {C in octave 4 | G-sharp in octave 4} 16th,C4-interval class 4,0.25,204.0
Chord {C-sharp in octave 5 | G in octave 3 | F in octave 5 | C-sharp in octave 4} Eighth,F5-incomplete half-diminished seventh chord,0.5,205.25
Chord {F in octave 4 | G in octave 3} Eighth,G3-interval class 2,0.5,205.25
Chord {G in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),G5-unison,1/3,619/3
Chord {E-flat in octave 4 | B in octave 3} Eighth,E-4-interval class 4,0.5,631/3
Chord {G-sharp in octave 4 | C in octave 5} Quarter,C5-interval class 4,1.0,216.25
Chord {F in octave 5 | D in octave 5} Eighth,D5-interval class 3,0.5,668/3
Chord {B in octave 3 | E in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),C4-incomplete major-seventh chord,1/3,227.0
Chord {E in octave 4 | B in octave 3} Eighth,E4-interval class 5,0.5,228.0
Chord {F-sharp in octave 3 | G-sharp in octave 1} Dotted Half,G#1-interval class 2,3.0,233.0
Chord {B-flat in octave 3 | G-sharp in octave 1} Dotted Half,G#1-interval class 2,3.0,233.0
Chord {F in octave 4 | C-sharp in octave 4} Triple Dotted Half (3 3/4 QL),F4-interval class 4,3.75,236.75
Chord {F in octave 4 | A in octave 3} Quarter tied to 16th (1 1/4 total QL),F4-interval class 4,1.25,256.0
Chord {D in octave 4 | G in octave 4} Half Triplet (1 1/3 QL),G4-interval class 5,4/3,258.0
Chord {E in octave 4 | C in octave 4 | B in octave 3 | A in octave 3} Half,A3-major-second minor tetrachord,2.0,260.0
Chord {E in octave 4 | F in octave 3 | C in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F3-incomplete major-seventh chord,5/3,264.0
Chord {E in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),E4-interval class 5,2/3,267.0
Chord {A in octave 3 | E in octave 3} Half tied to Dotted Eighth (2 3/4 total QL),A3-interval class 5,2.75,268.0
Chord {E-flat in octave 4 | G-sharp in octave 3} Quarter,E-4-interval class 5,1.0,272.0
Chord {C in octave 4 | G-sharp in octave 4 | F in octave 3} Dotted Eighth,F3-minor triad,0.75,272.0
Chord {D in octave 4 | F-sharp in octave 4} Dotted Quarter,D4-interval class 4,1.5,274.0
Chord {D in octave 4 | C in octave 4} Half tied to Eighth (2 1/2 total QL),D4-interval class 2,2.5,276.0
Chord {C in octave 5 | B-flat in octave 3} 16th,C5-interval class 2,0.25,279.5
Chord {G in octave 4 | A in octave 4} 16th,A4-interval class 2,0.25,285.25
Chord {F-sharp in octave 3 | B in octave 3} Half,B3-interval class 5,2.0,856/3
Chord {G-sharp in octave 4 | E-flat in octave 4 | E in octave 4} Dotted Eighth,E-4-incomplete major-seventh chord,0.75,288.0
Chord {G-sharp in octave 4 | E in octave 4 | E-flat in octave 4} Dotted Eighth,E4-incomplete major-seventh chord,0.75,289.0
Chord {G-sharp in octave 4 | E in octave 4 | B-flat in octave 3 | E-flat in octave 4} Dotted Eighth,E4-minor-second quartal tetrachord,0.75,290.0
Chord {G-sharp in octave 4 | E-flat in octave 4} Eighth,E-4-interval class 5,0.5,291.0
Chord {B-flat in octave 5 | B-flat in octave 3} Quarter Triplet (2/3 QL),B-5-unison,2/3,291.0
Chord {E-flat in octave 4 | C-sharp in octave 4} Dotted Quarter,C#4-interval class 2,1.5,292.0
Chord {E-flat in octave 4 | B-flat in octave 3} Quarter Triplet (2/3 QL),E-4-interval class 5,2/3,884/3
Chord {B in octave 3 | B-flat in octave 3 | F-sharp in octave 3} Eighth,B3-incomplete major-seventh chord,0.5,884/3
Chord {E-flat in octave 5 | G-sharp in octave 4 | E in octave 4 | E-flat in octave 4 | B-flat in octave 4} 16th,E-5-minor-second quartal tetrachord,0.25,300.0
Chord {E-flat in octave 5 | E-flat in octave 4 | E in octave 4} 16th,E-5-interval class 1,0.25,300.75
Chord {B-flat in octave 4 | G-sharp in octave 4 | E in octave 4} 16th,E4-incomplete half-diminished seventh chord,0.25,300.75
Chord {C-sharp in octave 4 | E in octave 4 | G-sharp in octave 4} 16th,C#4-minor triad,0.25,301.25
Chord {C-sharp in octave 5 | B-flat in octave 4 | G-sharp in octave 4} 16th,C#5-incomplete minor-seventh chord,0.25,301.25
Chord {C in octave 5 | C in octave 4 | G in octave 4} Eighth,C5-interval class 5,0.5,302.25
Chord {C-sharp in octave 4 | E in octave 4} Quarter Triplet (2/3 QL),C#4-interval class 3,2/3,302.25
Chord {B in octave 3 | B-flat in octave 3} Half,B3-interval class 1,2.0,917/3
Chord {G-sharp in octave 5 | B-flat in octave 5} 16th,G#5-interval class 2,0.25,307.5
Chord {C in octave 4 | F in octave 3} Dotted Quarter,F3-interval class 5,1.5,308.0
Chord {F-sharp in octave 5 | B-flat in octave 4 | F in octave 4} 16th,B-4-incomplete major-seventh chord,0.25,938/3
Chord {B-flat in octave 4 | F in octave 5 | F-sharp in octave 4} Eighth Triplet (1/3 QL),B-4-incomplete major-seventh chord,1/3,313.25
Chord {B-flat in octave 4 | F-sharp in octave 4} Half Triplet (1 1/3 QL),B-4-interval class 4,4/3,314.25
Chord {C-sharp in octave 4 | F in octave 4} Quarter Triplet (2/3 QL),F4-interval class 4,2/3,318.0
Chord {F in octave 4 | C-sharp in octave 4} Eighth Triplet (1/3 QL),F4-interval class 4,1/3,318.75
Chord {C-sharp in octave 4 | F-sharp in octave 4} 16th,F#4-interval class 5,0.25,319.5
Chord {E in octave 5 | E in octave 4} Zero,E5-unison,0.0,327.25
Chord {D in octave 4 | G in octave 3} Half,G3-interval class 5,2.0,328.25
Chord {B in octave 3 | G in octave 3} Half,G3-interval class 4,2.0,328.25
Chord {C-sharp in octave 4 | F-sharp in octave 4} 16th,F#4-interval class 5,0.25,331.25
Chord {C-sharp in octave 4 | F-sharp in octave 3} Double Dotted Half,F#3-interval class 5,3.5,332.0
Chord {E in octave 4 | B in octave 3} Whole Tuplet of 6/5ths (3 1/3 QL),E4-interval class 5,10/3,332.0
Chord {C-sharp in octave 5 | E-flat in octave 5} 16th,C#5-interval class 2,0.25,334.0
Chord {A in octave 3 | G in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),A3-interval class 2,5/3,336.0
Chord {B in octave 3 | F in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),B3-tritone,5/3,338.25
Chord {G-sharp in octave 4 | G-sharp in octave 5} 16th,G#4-unison,0.25,338.25
Chord {B-flat in octave 5 | B-flat in octave 4} 16th,B-5-unison,0.25,1016/3
Chord {G-sharp in octave 5 | G-sharp in octave 4} 16th,G#5-unison,0.25,339.0
Chord {B-flat in octave 5 | B-flat in octave 4 | E in octave 4} 16th,E4-tritone,0.25,1018/3
Chord {G-sharp in octave 5 | G-sharp in octave 4} Zero,G#5-unison,0.0,339.75
Chord {B-flat in octave 4 | G-sharp in octave 5} Zero,G#5-interval class 2,0.0,340.0
Chord {B-flat in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),G4-interval class 3,1/3,1021/3
Chord {B in octave 4 | E in octave 4} 16th,E4-interval class 5,0.25,1025/3
Chord {G in octave 4 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),E4-interval class 3,1.25,342.25
Chord {F in octave 4 | C in octave 4} Quarter tied to 16th (1 1/4 total QL),F4-interval class 5,1.25,344.5
Chord {G in octave 3 | F in octave 5} Eighth,G3-interval class 2,0.5,345.5
Chord {B in octave 3 | F in octave 3} Eighth,B3-tritone,0.5,1040/3
Chord {G in octave 5 | G in octave 4} 16th,G5-unison,0.25,348.0
Chord {E in octave 4 | D in octave 4} Quarter,E4-interval class 2,1.0,348.0
Chord {A in octave 3 | D in octave 4 | B-flat in octave 3} Quarter,B-3-incomplete major-seventh chord,1.0,350.0
Chord {B in octave 3 | D in octave 4 | G in octave 3 | E in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),E3-minor seventh chord,5/3,356.25
Chord {B-flat in octave 3 | A in octave 4 | D in octave 4 | E in octave 4} Zero,B-3-minor-second quartal tetrachord,0.0,360.5
Chord {B-flat in octave 3 | F-sharp in octave 4} Zero,B-3-interval class 4,0.0,361.25
Chord {F in octave 4 | C in octave 4 | B-flat in octave 3} Zero,B-3-quartal trichord,0.0,367.25
Chord {F-sharp in octave 3 | C in octave 4 | B-flat in octave 3} 16th,B-3-incomplete half-diminished seventh chord,0.25,367.25
Chord {F-sharp in octave 3 | B-flat in octave 3} Eighth Triplet (1/3 QL),B-3-interval class 4,1/3,367.75
Chord {F in octave 4 | C in octave 4} 16th,F4-interval class 5,0.25,367.75
Chord {E-flat in octave 4 | D in octave 4} Half Triplet (1 1/3 QL),E-4-interval class 1,4/3,372.0
Chord {E-flat in octave 4 | G in octave 3 | C-sharp in octave 4} Quarter,C#4-incomplete dominant-seventh chord,1.0,374.25
Chord {E-flat in octave 4 | B-flat in octave 3} Eighth Triplet (1/3 QL),E-4-interval class 5,1/3,377.5
Chord {C-sharp in octave 5 | E in octave 5} 16th,C#5-interval class 3,0.25,378.25
Chord {B-flat in octave 4 | E-flat in octave 4} Quarter,E-4-interval class 5,1.0,380.0
Chord {E-flat in octave 4 | C in octave 4} Eighth,C4-interval class 3,0.5,382.0
Chord {G-sharp in octave 3 | C in octave 4 | D in octave 3} Quarter tied to 16th (1 1/4 total QL),C4-incomplete half-diminished seventh chord,1.25,384.0
Chord {G in octave 3 | C-sharp in octave 4} Dotted Eighth,C#4-tritone,0.75,390.5
Chord {E-flat in octave 4 | B in octave 3 | G-sharp in octave 3} Quarter,E-4-minor triad,1.0,394.25
Chord {D in octave 6 | D in octave 5} 16th,D6-unison,0.25,396.0
Chord {D in octave 4 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E4-interval class 2,5/3,1189/3
Chord {G in octave 4 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E4-interval class 3,5/3,1189/3
Chord {E-flat in octave 4 | B-flat in octave 3 | E in octave 3} Zero,E-4-tritone-fourth,0.0,398.75
Chord {B-flat in octave 3 | E-flat in octave 4} 16th,E-4-interval class 5,0.25,1198/3
Chord {D in octave 4 | F in octave 4 | A in octave 3} Quarter,D4-minor triad,1.0,400.0
Chord {F in octave 6 | A in octave 3 | F in octave 5 | F in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),D4-minor triad,1/3,401.5
Chord {C in octave 6 | A in octave 3 | F in octave 5} 16th,F5-major triad,0.25,401.5
Chord {G in octave 6 | E in octave 6 | C in octave 6} Eighth Triplet (1/3 QL),C6-major triad,1/3,402.0
Chord {D in octave 4 | G-sharp in octave 3} Eighth,G#3-tritone,0.5,402.25
Chord {E in octave 6 | C in octave 6 | E in octave 5 | A in octave 5} 16th,A5-minor triad,0.25,402.75
Chord {G-sharp in octave 3 | F in octave 4 | D in octave 4} Eighth,G#3-diminished triad,0.5,402.75
Chord {B in octave 5 | G-sharp in octave 3 | E in octave 5} 16th,E5-major triad,0.25,403.5
Chord {B in octave 4 | D in octave 4 | F in octave 4} 16th,B4-diminished triad,0.25,403.5
Chord {D in octave 5 | G in octave 5} Eighth,G5-interval class 5,0.5,404.25
Chord {E in octave 4 | C in octave 4 | B in octave 3 | G in octave 3} Eighth,C4-major seventh chord,0.5,404.25
Chord {E in octave 4 | C in octave 4 | B in octave 3 | G in octave 3 | C in octave 5} 16th,C4-major seventh chord,0.25,405.0
Chord {A in octave 5 | F in octave 5} 16th,F5-interval class 4,0.25,405.0
Chord {B in octave 5 | E in octave 4 | G in octave 5 | E in octave 5} 16th,E4-minor triad,0.25,1216/3
Chord {C in octave 4 | B in octave 3} 16th,C4-interval class 1,0.25,405.5
Chord {G in octave 5 | E in octave 5} 16th,E5-interval class 3,0.25,406.0
Chord {G in octave 3 | B in octave 3} Eighth Triplet (1/3 QL),G3-interval class 4,1/3,406.0
Chord {E in octave 4 | C in octave 4 | G in octave 4} 16th,C4-major triad,0.25,406.25
Chord {E in octave 5 | C in octave 5 | A in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),A4-minor triad,2/3,1220/3
Chord {B in octave 3 | G in octave 3} Quarter Triplet (2/3 QL),G3-interval class 4,2/3,406.75
Chord {F in octave 5 | C-sharp in octave 5} Eighth Triplet (1/3 QL),F5-interval class 4,1/3,408.0
Chord {E-flat in octave 4 | E in octave 5} Zero,E-4-interval class 1,0.0,408.0
Chord {F in octave 4 | B-flat in octave 4} Eighth,B-4-interval class 5,0.5,408.0
Chord {F in octave 5 | C-sharp in octave 5 | B-flat in octave 4} 16th,B-4-minor triad,0.25,1226/3
Chord {F in octave 5 | C-sharp in octave 5 | B-flat in octave 4} 16th,B-4-minor triad,0.25,409.0
Chord {F in octave 4 | F-sharp in octave 4} 16th,F4-interval class 1,0.25,409.25
Chord {F in octave 5 | E in octave 5 | E-flat in octave 5} 16th,F5-chromatic trimirror,0.25,410.0
Chord {D in octave 5 | A in octave 4 | F in octave 4 | E-flat in octave 5} Eighth Triplet (1/3 QL),D5-all-interval tetrachord,1/3,410.0
Chord {F in octave 5 | D in octave 5 | F in octave 4 | E-flat in octave 5 | F-sharp in octave 4} 16th,D5-alternating tetramirror,0.25,410.5
Chord {A in octave 4 | F-sharp in octave 4} 16th,F#4-interval class 3,0.25,1232/3
Chord {F in octave 5 | D in octave 5} Eighth,D5-interval class 3,0.5,411.0
Chord {A in octave 4 | E in octave 5} Eighth Triplet (1/3 QL),A4-interval class 5,1/3,411.0
Chord {E-flat in octave 5 | C-sharp in octave 3} Quarter,C#3-interval class 2,1.0,412.0
Chord {E in octave 4 | B in octave 4} Quarter Triplet (2/3 QL),E4-interval class 5,2/3,412.0
Chord {B in octave 4 | E in octave 4} Eighth,E4-interval class 5,0.5,413.0
Chord {E-flat in octave 5 | B-flat in octave 4} Half Triplet (1 1/3 QL),E-5-interval class 5,4/3,414.0
Chord {A in octave 3 | D in octave 4 | F in octave 4} Zero,D4-minor triad,0.0,416.0
Chord {G in octave 4 | G-sharp in octave 3 | D in octave 4} Zero,G4-tritone-fourth,0.0,418.0
Chord {E in octave 5 | G-sharp in octave 3} 16th,E5-interval class 4,0.25,418.0
Chord {E in octave 4 | A in octave 3 | C in octave 4 | B in octave 3} 16th,A3-major-second minor tetrachord,0.25,1259/3
Chord {E-flat in octave 4 | B-flat in octave 5 | G-sharp in octave 3 | B in octave 3} 16th,E-4-major-second minor tetrachord,0.25,427.5
Chord {A in octave 3 | E in octave 3} Dotted Quarter,A3-interval class 5,1.5,1285/3
Chord {E-flat in octave 4 | G-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),E-4-interval class 5,1.25,432.0
Chord {C in octave 4 | F in octave 3} Quarter,F3-interval class 5,1.0,432.0
Chord {D in octave 4 | C in octave 4} Dotted Eighth,D4-interval class 2,0.75,434.0
Chord {B-flat in octave 4 | D in octave 5} Eighth,B-4-interval class 4,0.5,1303/3
Chord {C-sharp in octave 4 | E-flat in octave 4} Quarter Triplet (2/3 QL),C#4-interval class 2,2/3,435.0
Chord {F in octave 4 | D in octave 5} 16th,D5-interval class 3,0.25,436.0
Chord {D in octave 4 | C in octave 4} Quarter Triplet (2/3 QL),D4-interval class 2,2/3,436.0
Chord {C in octave 5 | E-flat in octave 5} Eighth,C5-interval class 3,0.5,1309/3
