4/4
Chord {A in octave 3 | C in octave 4 | E in octave 4 | G in octave 4} Quarter,A3-minor seventh chord,1.0,26/3
Chord {G in octave 3 | B in octave 3 | C in octave 4 | E in octave 4} Quarter,C4-major seventh chord,1.0,90.0
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 4 | G in octave 3} Half,C4-minor seventh chord,2.0,275/3
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3 | G in octave 3} Quarter,E-4-augmented seventh chord,1.0,284/3
Chord {G in octave 4 | E in octave 3 | C in octave 4 | A in octave 3} Half,A3-minor seventh chord,2.0,287/3
Chord {A in octave 3 | C-sharp in octave 5 | E-flat in octave 4 | G-sharp in octave 4} Double Dotted Quarter,A3-minor-second quartal tetrachord,1.75,98.0
Chord {F-sharp in octave 4 | B-flat in octave 4 | C in octave 4 | F in octave 5} Eighth,B-4-minor-second quartal tetrachord,0.5,100.0
Chord {F in octave 4 | A in octave 4 | B in octave 3 | E in octave 5} Quarter,F4-minor-second quartal tetrachord,1.0,102.0
Chord {B-flat in octave 3 | C-sharp in octave 5 | E in octave 4 | G-sharp in octave 4} Quarter Triplet (2/3 QL),C#5-half-diminished seventh chord,2/3,103.0
Chord {C in octave 5 | A in octave 3 | F in octave 4 | D in octave 4} Half,D4-minor seventh chord,2.0,311/3
Chord {C in octave 4 | E in octave 4 | F in octave 3 | A in octave 4} Quarter,F3-major seventh chord,1.0,320/3
Chord {C in octave 4 | E-flat in octave 4 | F in octave 3 | G-sharp in octave 4} Quarter,C4-minor seventh chord,1.0,108.0
Chord {E in octave 3 | G-sharp in octave 4 | B-flat in octave 3 | C in octave 4} Eighth,C4-augmented seventh chord,0.5,110.0
Chord {D in octave 3 | F in octave 3 | A in octave 3 | C in octave 4} Double Dotted Quarter,D3-minor seventh chord,1.75,112.0
Chord {F-sharp in octave 3 | B-flat in octave 4 | C in octave 4 | F in octave 4} Double Dotted Quarter,B-4-minor-second quartal tetrachord,1.75,114.0
Chord {F in octave 3 | A in octave 3 | B in octave 3 | E in octave 4} Quarter,F3-minor-second quartal tetrachord,1.0,350/3
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3 | B-flat in octave 3} Quarter tied to 16th (1 1/4 total QL),E-4-minor-second quartal tetrachord,1.25,353/3
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 4} Quarter,A3-minor seventh chord,1.0,120.0
Chord {G in octave 3 | B in octave 3 | C in octave 4 | E in octave 4} Dotted Eighth,C4-major seventh chord,0.75,365/3
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Double Dotted Quarter,C4-minor seventh chord,1.75,124.0
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3 | G in octave 3} Eighth,E-4-augmented seventh chord,0.5,126.0
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),A3-minor seventh chord,5/3,128.0
Chord {C in octave 4 | E-flat in octave 4 | F in octave 3 | G-sharp in octave 4} Quarter,C4-minor seventh chord,1.0,130.0
Chord {F in octave 4 | C in octave 4 | B-flat in octave 3 | F-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),B-3-minor-second quartal tetrachord,1.25,395/3
Chord {F in octave 3 | A in octave 3 | B in octave 3 | D in octave 4} Dotted Eighth,B3-half-diminished seventh chord,0.75,401/3
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 4} Eighth,A3-minor seventh chord,0.5,136.0
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 4} Quarter,A3-minor seventh chord,1.0,410/3
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Dotted Quarter,A4-minor seventh chord,1.5,138.0
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 4 | G in octave 3} Double Dotted Quarter,C4-minor seventh chord,1.75,419/3
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3 | B-flat in octave 4} Quarter,E-4-minor-second quartal tetrachord,1.0,428/3
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 3} Dotted Eighth,A3-minor seventh chord,0.75,144.0
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 3} Eighth Triplet (1/3 QL),A3-minor seventh chord,1/3,145.0
Chord {C-sharp in octave 4 | F in octave 4 | G in octave 3 | C in octave 5} Dotted Quarter,F4-minor-second quartal tetrachord,1.5,146.0
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 3 | A in octave 4} Eighth,F#3-half-diminished seventh chord,0.5,148.0
Chord {C in octave 4 | E in octave 4 | F-sharp in octave 3 | A in octave 4} Quarter,F#3-half-diminished seventh chord,1.0,149.0
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3 | B-flat in octave 4} Eighth,E-4-minor-second quartal tetrachord,0.5,150.0
Chord {B-flat in octave 4 | F in octave 3 | E-flat in octave 4 | B in octave 3} Quarter,E-4-minor-second quartal tetrachord,1.0,151.0
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 4} Eighth,A3-minor seventh chord,0.5,152.0
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 4} Quarter,A3-minor seventh chord,1.0,458/3
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Eighth,A4-minor seventh chord,0.5,154.0
Chord {E in octave 4 | C in octave 4 | A in octave 4 | G in octave 3} Quarter,A4-minor seventh chord,1.0,155.0
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Eighth,C4-minor seventh chord,0.5,156.0
Chord {G in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Quarter,C4-minor seventh chord,1.0,470/3
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3 | B-flat in octave 3} Dotted Quarter,E-4-minor-second quartal tetrachord,1.5,158.0
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 3} Quarter,A3-minor seventh chord,1.0,482/3
Chord {A in octave 3 | C-sharp in octave 5 | E-flat in octave 4 | F-sharp in octave 4} Dotted Quarter,F#4-half-diminished seventh chord,1.5,162.0
Chord {F-sharp in octave 3 | B-flat in octave 4 | C in octave 4 | F in octave 4} Eighth,B-4-minor-second quartal tetrachord,0.5,164.0
Chord {F-sharp in octave 3 | B-flat in octave 4 | C in octave 4 | F in octave 4} Quarter,B-4-minor-second quartal tetrachord,1.0,494/3
Chord {F in octave 3 | A in octave 4 | B in octave 3 | E in octave 4} Quarter Triplet (2/3 QL),F3-minor-second quartal tetrachord,2/3,166.0
Chord {B-flat in octave 3 | C-sharp in octave 4 | E in octave 3 | G-sharp in octave 4} Quarter Triplet (2/3 QL),C#4-half-diminished seventh chord,2/3,167.0
Chord {D in octave 3 | F in octave 4 | A in octave 3 | C in octave 4} Quarter,D3-minor seventh chord,1.0,168.0
Chord {C in octave 4 | E in octave 4 | F in octave 3 | A in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F3-major seventh chord,5/3,170.0
Chord {C in octave 4 | E-flat in octave 4 | F in octave 3 | G-sharp in octave 4} Double Dotted Quarter,C4-minor seventh chord,1.75,172.0
Chord {E in octave 3 | G-sharp in octave 3 | B-flat in octave 3 | E-flat in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E3-minor-second quartal tetrachord,5/3,174.0
Chord {C in octave 4 | A in octave 3 | F in octave 4 | D in octave 3} Half,D3-minor seventh chord,2.0,527/3
Chord {F-sharp in octave 3 | B-flat in octave 4 | C in octave 4 | E-flat in octave 4} Double Dotted Quarter,C4-half-diminished seventh chord,1.75,178.0
Chord {F in octave 3 | A in octave 4 | B in octave 3 | E in octave 4} Eighth,F3-minor-second quartal tetrachord,0.5,180.0
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3 | B-flat in octave 3} Eighth,E-4-minor-second quartal tetrachord,0.5,182.0
Chord {A in octave 3 | C in octave 4 | E in octave 3 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A3-minor seventh chord,5/3,184.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Half,A4-minor seventh chord,2.0,557/3
Chord {E-flat in octave 4 | C in octave 4 | B-flat in octave 4 | G in octave 3} Half,C4-minor seventh chord,2.0,563/3
Chord {B in octave 3 | E-flat in octave 4 | F in octave 3 | B-flat in octave 3} Half,E-4-minor-second quartal tetrachord,2.0,569/3
Chord {G in octave 4 | E in octave 3 | C in octave 4 | A in octave 3} Dotted Eighth,A3-minor seventh chord,0.75,575/3
Chord {C in octave 4 | E-flat in octave 4 | F in octave 3 | G-sharp in octave 4} Dotted Eighth,C4-minor seventh chord,0.75,581/3
Chord {F-sharp in octave 3 | B-flat in octave 4 | C in octave 4 | F in octave 4} Eighth,B-4-minor-second quartal tetrachord,0.5,196.0
Chord {F in octave 3 | A in octave 4 | B in octave 3 | D in octave 4} Dotted Eighth,B3-half-diminished seventh chord,0.75,593/3
Chord {A in octave 3 | D in octave 4 | E in octave 3 | G in octave 4} Eighth,E3-quartal tetramirror,0.5,204.0
Chord {B-flat in octave 3 | E-flat in octave 4 | F in octave 3 | G-sharp in octave 4} Eighth,E-4-quartal tetramirror,0.5,205.0
Chord {A in octave 3 | D in octave 4 | E in octave 3 | G in octave 4} Double Dotted Quarter,E3-quartal tetramirror,1.75,617/3
