4/4
Chord {F in octave 4 | B-flat in octave 4} Quarter Triplet (2/3 QL),B-4-interval class 5,2/3,11.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,57.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,57.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,57.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,58.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,58.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,59.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,59.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,59.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,60.0
Chord {C in octave 2 | E in octave 3} Eighth,C2-interval class 4,0.5,60.5
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,62.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,63.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,63.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,64.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,65.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,65.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,65.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,66.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,66.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,67.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,67.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,68.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,68.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,69.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,69.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,70.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,71.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,72.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,72.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,73.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,73.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,73.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,74.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,74.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,75.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,75.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,75.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,76.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,78.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,79.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,79.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,80.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,81.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,81.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,81.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,82.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,82.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,83.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,83.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,84.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,84.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,85.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,85.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,86.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,87.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,88.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,88.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,89.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,89.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,89.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,90.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,90.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,91.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,91.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,91.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,92.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,94.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,95.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,95.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,96.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,97.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,97.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,97.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,98.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,98.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,99.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,99.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,100.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,100.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,101.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,101.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,102.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,103.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,104.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,104.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,105.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,105.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,105.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,106.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,106.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,107.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,107.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,107.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,108.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,110.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,111.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,111.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,112.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,113.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,113.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,113.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,114.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,114.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,115.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,115.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,116.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,116.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,117.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,117.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,118.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,119.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,120.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,120.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,121.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,121.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,121.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,122.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,122.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,123.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,123.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,123.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,124.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,126.25
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,127.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,127.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,128.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,129.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,129.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,129.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,130.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,130.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,131.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,131.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,132.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,132.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,133.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,133.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,134.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,135.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,136.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,136.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,137.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,137.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,137.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,138.25
Chord {D in octave 4 | G in octave 2 | F-sharp in octave 3} Zero,G2-incomplete major-seventh chord,0.0,138.5
Chord {B in octave 2 | D in octave 4 | G in octave 2} 16th,G2-major triad,0.25,138.75
Chord {A in octave 2 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,139.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,139.25
Chord {G in octave 2 | C in octave 2 | F in octave 2} 16th,F2-quartal trichord,0.25,139.5
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,139.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,140.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,142.25
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,143.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,143.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,143.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,144.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,145.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,145.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,145.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,146.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,146.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,147.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,147.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,148.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,148.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,149.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,149.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,150.25
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,151.0
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,151.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,152.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,152.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,153.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,153.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,153.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,154.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,154.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,155.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,155.25
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,155.5
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,156.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,158.25
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,159.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,159.0
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,159.25
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,160.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,161.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,161.25
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,161.75
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,162.5
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,162.75
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,163.0
Chord {E in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 2,0.0,163.75
Chord {F-sharp in octave 2 | C in octave 2} 16th,F#2-tritone,0.25,164.0
Chord {E-flat in octave 4 | F-sharp in octave 3} Zero,F#3-interval class 3,0.0,164.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,165.0
Chord {E in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 2,0.25,165.25
Chord {D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,166.25
Chord {E-flat in octave 2 | C-sharp in octave 2} Eighth,C#2-interval class 2,0.5,167.0
Chord {F-sharp in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,D4-interval class 4,0.25,167.0
Chord {F-sharp in octave 2 | E in octave 4 | C in octave 2} 16th,F#2-incomplete half-diminished seventh chord,0.25,168.0
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,168.5
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,169.0
Chord {F-sharp in octave 2 | F-sharp in octave 3} 16th,F#2-unison,0.25,169.5
Chord {E-flat in octave 4 | F-sharp in octave 3} 16th,F#3-interval class 3,0.25,169.75
Chord {E-flat in octave 2 | B in octave 2} 16th,E-2-interval class 4,0.25,170.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,170.25
Chord {D in octave 4 | F-sharp in octave 3} Zero,D4-interval class 4,0.0,170.5
Chord {E-flat in octave 2 | B in octave 2 | D in octave 4 | F-sharp in octave 3} 16th,B2-major-minor tetramirror,0.25,170.75
