4/4
Chord {G in octave 3 | B in octave 4 | C in octave 4 | E in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),C4-major seventh chord,10/3,0.0
Chord {D in octave 4 | E in octave 4 | G in octave 3 | B in octave 3} Whole Tuplet of 6/5ths (3 1/3 QL),E4-minor seventh chord,10/3,40.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),A4-minor seventh chord,10/3,44.0
Chord {C in octave 4 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D5-minor seventh chord,1/3,50.5
Chord {B in octave 3 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),B3-half-diminished seventh chord,1/3,54.5
Chord {B in octave 3 | D in octave 5 | G in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E4-minor seventh chord,1/3,58.5
Chord {A in octave 3 | B in octave 3 | D in octave 4 | F-sharp in octave 4} Quarter tied to 16th (1 1/4 total QL),B3-minor seventh chord,1.25,60.5
Chord {D in octave 4 | G in octave 4 | G-sharp in octave 3 | C in octave 5} Quarter tied to 16th (1 1/4 total QL),C5-minor-second quartal tetrachord,1.25,62.5
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),A4-minor seventh chord,10/3,64.0
Chord {D in octave 5 | C in octave 4 | F in octave 4 | A in octave 4} Double Dotted Half,D5-minor seventh chord,3.5,68.0
Chord {B in octave 3 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),B3-half-diminished seventh chord,1/3,74.5
Chord {B in octave 3 | D in octave 4 | E in octave 3 | G in octave 3} Quarter tied to 16th (1 1/4 total QL),E3-minor seventh chord,1.25,76.5
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3 | A in octave 3} Quarter tied to 16th (1 1/4 total QL),B-3-minor-second quartal tetrachord,1.25,78.5
Chord {A in octave 3 | C in octave 5 | G in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),A3-minor seventh chord,1/3,82.5
Chord {C in octave 4 | E in octave 4 | F in octave 3 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),F3-major seventh chord,1.25,84.5
Chord {A in octave 3 | B in octave 3 | D in octave 4 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B3-half-diminished seventh chord,5/3,86.0
Chord {F in octave 5 | D in octave 4 | G-sharp in octave 4 | B in octave 4} Double Dotted Half,G#4-diminished seventh chord,3.5,88.0
Chord {G in octave 3 | A in octave 3 | C in octave 4 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A3-minor seventh chord,5/3,92.0
Chord {G in octave 3 | B-flat in octave 4 | C-sharp in octave 4 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C#4-diminished seventh chord,5/3,94.0
Chord {C in octave 4 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D5-minor seventh chord,1/3,98.5
Chord {E-flat in octave 5 | C in octave 4 | F-sharp in octave 4 | A in octave 4} Double Dotted Half,F#4-diminished seventh chord,3.5,100.0
Chord {E in octave 5 | D in octave 4 | G in octave 4 | B-flat in octave 4} Double Dotted Half,E5-half-diminished seventh chord,3.5,104.0
Chord {A in octave 4 | G in octave 3 | C-sharp in octave 4 | E in octave 4} Double Dotted Half,A4-dominant seventh chord,3.5,108.0
Chord {C in octave 4 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D5-minor seventh chord,1/3,114.5
Chord {A in octave 4 | F in octave 3 | B in octave 3 | D in octave 4} Double Dotted Half,B3-half-diminished seventh chord,3.5,116.0
Chord {D in octave 5 | A in octave 3 | E in octave 4 | G in octave 4} Double Dotted Half,E4-quartal tetramirror,3.5,120.0
Chord {F in octave 5 | D in octave 4 | G-sharp in octave 4 | B in octave 4} Double Dotted Half,G#4-diminished seventh chord,3.5,124.0
Chord {G in octave 3 | A in octave 4 | E in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),A4-minor seventh chord,1/3,130.5
Chord {C in octave 4 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D5-minor seventh chord,1/3,134.5
Chord {F in octave 3 | A in octave 4 | B in octave 3 | E in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),F3-minor-second quartal tetrachord,10/3,136.0
Chord {B in octave 3 | D in octave 4 | E in octave 3 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E3-minor seventh chord,5/3,140.0
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3 | A in octave 4} Quarter tied to 16th (1 1/4 total QL),B-3-minor-second quartal tetrachord,1.25,142.5
Chord {E in octave 3 | G in octave 4 | A in octave 3 | C in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),A3-minor seventh chord,10/3,144.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),D4-minor seventh chord,5/3,148.0
Chord {A in octave 3 | B in octave 4 | D in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),B4-half-diminished seventh chord,1.25,150.5
Chord {G-sharp in octave 3 | B in octave 4 | F in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),G#3-diminished seventh chord,1/3,154.5
Chord {G in octave 3 | B in octave 4 | C in octave 4 | E in octave 4} Half,C4-major seventh chord,2.0,155.5
Chord {G in octave 3 | B-flat in octave 3 | C-sharp in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),G3-half-diminished seventh chord,1.25,158.5
Chord {D in octave 5 | C in octave 4 | F in octave 4 | A in octave 4} Double Dotted Half,D5-minor seventh chord,3.5,160.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D4-minor seventh chord,5/3,164.0
Chord {F in octave 3 | A in octave 4 | B in octave 3 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),F3-minor-second quartal tetrachord,5/3,166.0
Chord {G in octave 3 | B in octave 4 | E in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),E4-minor seventh chord,1/3,170.5
Chord {G in octave 3 | A in octave 4 | E in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),A4-minor seventh chord,1/3,174.5
Chord {D in octave 5 | C in octave 4 | F in octave 4 | A in octave 4} Double Dotted Half,D5-minor seventh chord,3.5,176.0
Chord {B in octave 3 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),B3-half-diminished seventh chord,1/3,182.5
Chord {D in octave 5 | B in octave 3 | E in octave 4 | G in octave 4} Double Dotted Half,E4-minor seventh chord,3.5,184.0
Chord {A in octave 3 | B in octave 4 | D in octave 4 | F-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B4-minor seventh chord,5/3,188.0
Chord {D in octave 4 | G in octave 4 | G-sharp in octave 3 | C in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),C5-minor-second quartal tetrachord,5/3,190.0
Chord {G in octave 3 | A in octave 4 | E in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),A4-minor seventh chord,1/3,194.5
Chord {C in octave 4 | E in octave 4 | F in octave 3 | A in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),F3-major seventh chord,10/3,196.0
Chord {A in octave 4 | F in octave 3 | B in octave 3 | D in octave 4} Whole,B3-half-diminished seventh chord,4.0,199.5
Chord {B in octave 3 | D in octave 4 | E in octave 3 | G in octave 4} Quarter tied to 16th (1 1/4 total QL),E3-minor seventh chord,1.25,204.5
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3 | A in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B-3-minor-second quartal tetrachord,5/3,206.0
Chord {E in octave 3 | G in octave 4 | A in octave 3 | C in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),A3-minor seventh chord,10/3,208.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D4-minor seventh chord,5/3,212.0
Chord {A in octave 3 | B in octave 3 | D in octave 4 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B3-half-diminished seventh chord,5/3,214.0
Chord {D in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),D4-half-diminished seventh chord,10/3,216.0
Chord {G in octave 3 | B in octave 3 | C in octave 4 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),C4-major seventh chord,5/3,220.0
Chord {G in octave 3 | B-flat in octave 3 | C-sharp in octave 4 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G3-half-diminished seventh chord,5/3,222.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 3} Whole Tuplet of 6/5ths (3 1/3 QL),D4-minor seventh chord,10/3,224.0
Chord {C in octave 4 | E-flat in octave 4 | F-sharp in octave 3 | A in octave 3} Whole Tuplet of 6/5ths (3 1/3 QL),F#3-diminished seventh chord,10/3,228.0
Chord {G in octave 3 | B-flat in octave 4 | E in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),E4-half-diminished seventh chord,1/3,234.5
Chord {A in octave 4 | G in octave 3 | C-sharp in octave 4 | E in octave 4} Double Dotted Half,A4-dominant seventh chord,3.5,236.0
Chord {C in octave 4 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D5-minor seventh chord,1/3,242.5
Chord {B in octave 3 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),B3-half-diminished seventh chord,1/3,246.5
Chord {A in octave 3 | D in octave 4 | E in octave 3 | G in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),E3-quartal tetramirror,10/3,248.0
Chord {D in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),D4-half-diminished seventh chord,10/3,252.0
Chord {G in octave 3 | A in octave 4 | E in octave 4 | C in octave 4} Eighth Triplet (1/3 QL),A4-minor seventh chord,1/3,258.5
Chord {C in octave 4 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),D5-minor seventh chord,1/3,262.5
Chord {B in octave 3 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),B3-half-diminished seventh chord,1/3,266.5
Chord {B in octave 3 | D in octave 4 | E in octave 3 | G in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),E3-minor seventh chord,5/3,268.0
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E3-half-diminished seventh chord,5/3,270.0
Chord {A in octave 3 | C in octave 5 | G in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),A3-minor seventh chord,1/3,274.5
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 3} Quarter tied to 16th (1 1/4 total QL),D4-minor seventh chord,1.25,276.5
Chord {A in octave 3 | B in octave 4 | D in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),B4-half-diminished seventh chord,1.25,278.5
Chord {F in octave 5 | D in octave 4 | G-sharp in octave 4 | B in octave 4} Double Dotted Half,G#4-diminished seventh chord,3.5,280.0
Chord {G in octave 3 | A in octave 3 | C in octave 4 | E in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),A3-minor seventh chord,5/3,284.0
Chord {G in octave 3 | B-flat in octave 3 | C-sharp in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),G3-half-diminished seventh chord,1.25,286.5
Chord {D in octave 5 | C in octave 4 | F in octave 4 | A in octave 4} Double Dotted Half,D5-minor seventh chord,3.5,288.0
Chord {C in octave 4 | E in octave 4 | F in octave 3 | A in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),F3-major seventh chord,5/3,292.0
Chord {F in octave 3 | A in octave 3 | B in octave 3 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),F3-minor-second quartal tetrachord,1.25,294.5
Chord {G in octave 3 | B in octave 4 | E in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),E4-minor seventh chord,1/3,298.5
Chord {G in octave 3 | B in octave 4 | C in octave 4 | E in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),C4-major seventh chord,10/3,300.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),D4-minor seventh chord,10/3,304.0
Chord {B in octave 3 | D in octave 5 | A in octave 4 | F in octave 4} Eighth Triplet (1/3 QL),B3-half-diminished seventh chord,1/3,310.5
Chord {B in octave 3 | D in octave 5 | G in octave 4 | E in octave 4} Eighth Triplet (1/3 QL),E4-minor seventh chord,1/3,314.5
Chord {A in octave 3 | B in octave 3 | D in octave 4 | F-sharp in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),B3-minor seventh chord,5/3,316.0
Chord {D in octave 4 | G in octave 4 | G-sharp in octave 3 | C in octave 5} Half Tuplet of 6/5ths (1 2/3 QL),C5-minor-second quartal tetrachord,5/3,318.0
Chord {A in octave 4 | G in octave 3 | C in octave 4 | E in octave 4} Double Dotted Half,A4-minor seventh chord,3.5,320.0
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),D4-minor seventh chord,10/3,324.0
Chord {A in octave 4 | F in octave 3 | B in octave 3 | D in octave 4} Double Dotted Half,B3-half-diminished seventh chord,3.5,328.0
Chord {B in octave 3 | D in octave 4 | E in octave 3 | G in octave 4} Half Triplet (1 1/3 QL),E3-minor seventh chord,4/3,332.0
Chord {B-flat in octave 3 | D in octave 4 | E in octave 3 | G in octave 4} Half,E3-half-diminished seventh chord,2.0,333.5
Chord {G in octave 5 | E in octave 4 | A in octave 4 | C in octave 5} Whole,A4-minor seventh chord,4.0,335.5
Chord {C in octave 4 | D in octave 4 | F in octave 3 | A in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),D4-minor seventh chord,5/3,340.0
Chord {A in octave 3 | B in octave 4 | D in octave 4 | F in octave 4} Quarter tied to 16th (1 1/4 total QL),B4-half-diminished seventh chord,1.25,342.5
Chord {D in octave 4 | F in octave 4 | G-sharp in octave 3 | C in octave 5} Whole Tuplet of 6/5ths (3 1/3 QL),D4-half-diminished seventh chord,10/3,344.0
Chord {G in octave 3 | A in octave 3 | C in octave 4 | E in octave 4} Quarter tied to 16th (1 1/4 total QL),A3-minor seventh chord,1.25,348.5
Chord {G in octave 3 | B-flat in octave 4 | C-sharp in octave 4 | F in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),G3-half-diminished seventh chord,5/3,350.0
Chord {D in octave 5 | C in octave 4 | F in octave 4 | A in octave 4} Double Dotted Half,D5-minor seventh chord,3.5,352.0
Chord {C in octave 4 | E-flat in octave 4 | F-sharp in octave 3 | A in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),F#3-diminished seventh chord,10/3,356.0
Chord {G in octave 3 | B-flat in octave 4 | E in octave 4 | D in octave 4} Eighth Triplet (1/3 QL),E4-half-diminished seventh chord,1/3,362.5
Chord {G in octave 3 | A in octave 4 | E in octave 4 | C-sharp in octave 4} Eighth Triplet (1/3 QL),A4-dominant seventh chord,1/3,366.5
Chord {D in octave 5 | C in octave 4 | F in octave 4 | A in octave 4} Double Dotted Half,D5-minor seventh chord,3.5,368.0
Chord {A in octave 4 | F in octave 3 | B in octave 3 | D in octave 4} Double Dotted Half,B3-half-diminished seventh chord,3.5,372.0
Chord {D in octave 5 | A in octave 3 | E in octave 4 | G in octave 4} Double Dotted Half,E4-quartal tetramirror,3.5,376.0
Chord {D in octave 4 | F in octave 4 | G-sharp in octave 3 | B in octave 4} Whole Tuplet of 6/5ths (3 1/3 QL),G#3-diminished seventh chord,10/3,380.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Eighth,A4-minor seventh chord,0.5,384.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Eighth,A4-minor seventh chord,0.5,385.0
Chord {G in octave 3 | A in octave 4 | C in octave 4 | E in octave 4} Half,A4-minor seventh chord,2.0,388.0
