4/4
Chord {F in octave 4 | C in octave 4 | F-sharp in octave 3} Quarter tied to 16th (1 1/4 total QL),F4-tritone-fourth,1.25,544/3
Chord {F-sharp in octave 3 | C in octave 4} Dotted Eighth,F#3-tritone,0.75,213.75
Chord {E-flat in octave 4 | B in octave 3 | B-flat in octave 3 | F in octave 3} Half Tuplet of 6/5ths (1 2/3 QL),E-4-minor-second quartal tetrachord,5/3,216.75
Chord {E-flat in octave 4 | B in octave 3 | B-flat in octave 3 | F in octave 3} Quarter tied to 16th (1 1/4 total QL),E-4-minor-second quartal tetrachord,1.25,218.75
Chord {F-sharp in octave 5 | G in octave 5} 16th,G5-interval class 1,0.25,220.25
Chord {C in octave 5 | B-flat in octave 4} 16th,C5-interval class 2,0.25,224.75
Chord {C in octave 4 | E-flat in octave 4 | G in octave 3} Quarter tied to 16th (1 1/4 total QL),C4-minor triad,1.25,236.75
Chord {E-flat in octave 4 | C in octave 4 | G-sharp in octave 3 | G in octave 3} Whole tied to Quarter (5 total QL),C4-major seventh chord,5.0,238.75
Chord {E-flat in octave 6 | F in octave 5} 16th,F5-interval class 2,0.25,256.0
Chord {E-flat in octave 4 | B-flat in octave 3 | D in octave 4 | G in octave 4} Half Tuplet of 6/5ths (1 2/3 QL),E-4-major seventh chord,5/3,256.75
Chord {C in octave 6 | B-flat in octave 5} Zero,C6-interval class 2,0.0,820/3
Chord {E-flat in octave 4 | G in octave 4 | D in octave 4} 16th,E-4-incomplete major-seventh chord,0.25,284.0
Chord {G in octave 4 | D in octave 4} Half,G4-interval class 5,2.0,285.5
Chord {B-flat in octave 3 | G in octave 4 | E-flat in octave 4 | D in octave 4} Quarter,E-4-major seventh chord,1.0,287.75
Chord {B-flat in octave 3 | E-flat in octave 4 | G in octave 4 | D in octave 4} Dotted Eighth,E-4-major seventh chord,0.75,288.75
Chord {B in octave 3 | B-flat in octave 3 | E-flat in octave 4 | F in octave 3} Eighth,E-4-minor-second quartal tetrachord,0.5,312.0
Chord {E-flat in octave 4 | B in octave 3 | B-flat in octave 3 | F in octave 3} Eighth,E-4-minor-second quartal tetrachord,0.5,312.75
Chord {B-flat in octave 3 | G-sharp in octave 4 | D in octave 5 | E-flat in octave 4} Eighth,E-4-tritone quartal tetrachord,0.5,315.5
Chord {G in octave 4 | C in octave 5} 16th,C5-interval class 5,0.25,209.75
Chord {E-flat in octave 6 | E in octave 6} 16th,E-6-interval class 1,0.25,718/3
Chord {F in octave 6 | C in octave 7} 16th,F6-interval class 5,0.25,284.0
Chord {C in octave 7 | E-flat in octave 6} 16th,C7-interval class 3,0.25,287.75
Chord {C in octave 7 | E-flat in octave 6} 16th,C7-interval class 3,0.25,288.75
Chord {B-flat in octave 3 | E-flat in octave 4 | D in octave 4} Dotted Eighth,E-4-incomplete major-seventh chord,0.75,289.75
Chord {F in octave 6 | E in octave 6} 16th,F6-interval class 1,0.25,292.25
Chord {F in octave 5 | E in octave 5} Zero,F5-interval class 1,0.0,670/3
Chord {F in octave 6 | E in octave 6} Zero,F6-interval class 1,0.0,782/3
Chord {G-sharp in octave 3 | G in octave 3} Quarter,G#3-interval class 1,1.0,267.75
Chord {C in octave 7 | F in octave 6} 16th,F6-interval class 5,0.25,286.25
Chord {C in octave 7 | C in octave 6} 16th,C7-unison,0.25,286.5
Chord {C in octave 7 | E-flat in octave 6} 16th,C7-interval class 3,0.25,286.75
Chord {F in octave 6 | C in octave 7} 16th,F6-interval class 5,0.25,287.25
