4/4
Chord {A in octave 3 | D in octave 4 | B in octave 3} Quarter Triplet (2/3 QL),B3-incomplete minor-seventh chord,2/3,76/3
Chord {A in octave 4 | E in octave 5} Half,A4-interval class 5,2.0,124.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,126.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,127.0
Chord {D in octave 4 | D in octave 4} Whole,D4-unison,4.0,128.0
Chord {E in octave 4 | D in octave 4 | D in octave 4} Half,E4-interval class 2,2.0,132.0
Chord {E in octave 4 | A in octave 4 | C in octave 4 | G in octave 3 | A in octave 3 | D in octave 2 | E in octave 4 | D in octave 3 | C in octave 6} Whole,A4-major pentatonic,4.0,140.0
Chord {G in octave 4 | E in octave 4 | D in octave 4 | B in octave 3} Eighth Triplet (1/3 QL),E4-minor seventh chord,1/3,148.75
Chord {D in octave 4 | A in octave 3 | F-sharp in octave 3} Half,D4-major triad,2.0,156.0
Chord {F-sharp in octave 3 | B in octave 3} Dotted Half,B3-interval class 5,3.0,159.5
Chord {F-sharp in octave 4 | D in octave 4 | G in octave 3} Breve,G3-incomplete major-seventh chord,8.0,163.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,174.0
Chord {E-flat in octave 4 | D in octave 4} Whole,E-4-interval class 1,4.0,175.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,183.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,184.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,185.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,186.0
Chord {B in octave 3 | E-flat in octave 3 | A in octave 5 | A in octave 4} Zero,A5-incomplete dominant-seventh chord,0.0,187.0
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,187.25
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,187.25
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,562/3
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,187.5
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,187.5
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,563/3
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,187.75
Chord {B in octave 3 | E-flat in octave 3} Zero,E-3-interval class 4,0.0,187.75
Chord {E-flat in octave 3 | B in octave 3} Zero,E-3-interval class 4,0.0,188.0
Chord {F-sharp in octave 4 | D in octave 4} Dotted Half,D4-interval class 4,3.0,188.0
Chord {A in octave 3 | A in octave 4} Zero,A3-unison,0.0,191.0
Chord {G in octave 3 | A in octave 3 | A in octave 4 | E in octave 3 | A in octave 2 | B in octave 2 | G in octave 2 | E in octave 4} Zero,E3-perfect-fourth minor tetrachord,0.0,195.0
Chord {E-flat in octave 2 | C-sharp in octave 4 | G-sharp in octave 3 | F in octave 4 | B-flat in octave 3} Eighth,C#4-major pentatonic,0.5,196.5
Chord {G-sharp in octave 2 | E-flat in octave 4 | C in octave 4 | B-flat in octave 3 | G in octave 4 | C in octave 4} Quarter,C4-major-ninth chord,1.0,197.0
Chord {G-sharp in octave 4 | E-flat in octave 4 | C in octave 4 | B-flat in octave 4 | G in octave 4} Eighth,C4-major-ninth chord,0.5,198.0
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,198.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,199.5
Chord {A in octave 4 | E-flat in octave 4} Quarter,A4-tritone,1.0,200.5
Chord {A in octave 4 | D in octave 4} Quarter,D4-interval class 5,1.0,201.5
Chord {C-sharp in octave 4 | B-flat in octave 3 | G-sharp in octave 3 | F in octave 4 | C-sharp in octave 4 | G in octave 5 | G in octave 4} Eighth Triplet (1/3 QL),G#3-diminished-major ninth chord,1/3,608/3
Chord {G-sharp in octave 1 | E-flat in octave 4 | C in octave 4 | B-flat in octave 3 | G in octave 4 | G-sharp in octave 3} Half,C4-major-ninth chord,2.0,203.0
Chord {E-flat in octave 4 | B-flat in octave 3 | G in octave 3 | E-flat in octave 4 | G-sharp in octave 3} Quarter Triplet (2/3 QL),E-4-perfect-fourth major tetrachord,2/3,205.0
Chord {F in octave 4 | B-flat in octave 3 | G-sharp in octave 3 | F in octave 4 | B-flat in octave 3} Dotted Eighth,G#3-incomplete dominant-seventh chord,0.75,617/3
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,206.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,207.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,208.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,209.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,210.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,211.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,212.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,213.75
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,214.75
Chord {C-sharp in octave 5 | G-sharp in octave 4 | C-sharp in octave 4} Quarter,C#5-interval class 5,1.0,219.0
Chord {G in octave 4 | F in octave 4 | F in octave 5} Quarter,G4-interval class 2,1.0,220.0
Chord {B-flat in octave 5 | B-flat in octave 4 | F in octave 4} Quarter,B-5-interval class 5,1.0,221.0
Chord {G-sharp in octave 4 | C-sharp in octave 5} Quarter,C#5-interval class 5,1.0,222.0
Chord {C in octave 5 | C in octave 5 | G in octave 4} Quarter,C5-interval class 5,1.0,223.0
Chord {E-flat in octave 5 | E-flat in octave 5} Quarter,E-5-unison,1.0,224.0
Chord {G in octave 4 | G-sharp in octave 4} Quarter,G4-interval class 1,1.0,226.0
Chord {C-sharp in octave 5 | B-flat in octave 4} Dotted Half,C#5-interval class 3,3.0,227.0
Chord {C-sharp in octave 5 | B-flat in octave 4} Dotted Half,C#5-interval class 3,3.0,235.0
Chord {C in octave 5 | G in octave 4 | C in octave 5} Quarter,C5-interval class 5,1.0,239.0
Chord {E-flat in octave 5 | E-flat in octave 5 | F in octave 4} Quarter,F4-interval class 2,1.0,240.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,241.0
Chord {C in octave 5 | C in octave 5 | C in octave 4 | G-sharp in octave 4} Quarter,C5-interval class 4,1.0,242.0
Chord {C-sharp in octave 5 | B-flat in octave 4} Dotted Half,C#5-interval class 3,3.0,243.0
Chord {G-sharp in octave 4 | C in octave 5} Dotted Half,C5-interval class 4,3.0,247.0
Chord {G in octave 4 | C in octave 5} Quarter,C5-interval class 5,1.0,250.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,251.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,252.0
Chord {B-flat in octave 3 | E-flat in octave 4} Half,E-4-interval class 5,2.0,253.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,255.0
Chord {F in octave 4 | E-flat in octave 4 | G-sharp in octave 4 | G-sharp in octave 2 | F in octave 5} Dotted Half,E-4-incomplete minor-seventh chord,3.0,256.0
Chord {G-sharp in octave 2 | C in octave 4 | G in octave 4 | E-flat in octave 4 | C in octave 4 | B-flat in octave 4 | G-sharp in octave 3 | G in octave 4 | E-flat in octave 4} Half,C4-major-ninth chord,2.0,264.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,266.0
Chord {B-flat in octave 4 | B-flat in octave 3 | F in octave 5 | F in octave 4 | E-flat in octave 2 | G in octave 4 | C-sharp in octave 4} Whole,C#4-dominant-ninth,4.0,267.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,271.0
Chord {G in octave 4 | E-flat in octave 4 | C in octave 4 | B-flat in octave 4 | G-sharp in octave 3 | G-sharp in octave 2 | B-flat in octave 3} Half,C4-major-ninth chord,2.0,272.0
Chord {A in octave 4 | E in octave 4} Quarter,A4-interval class 5,1.0,274.0
Chord {A in octave 4 | E in octave 4} Zero,A4-interval class 5,0.0,275.0
Chord {E in octave 3 | G in octave 3} Zero,E3-interval class 3,0.0,275.75
Chord {E in octave 3 | G in octave 3} Zero,E3-interval class 3,0.0,276.5
Chord {D in octave 2 | C in octave 4} Zero,D2-interval class 2,0.0,830/3
Chord {E in octave 3 | G in octave 3} Zero,E3-interval class 3,0.0,276.75
Chord {D in octave 2 | E in octave 4} 16th,E4-interval class 2,0.25,276.75
Chord {E in octave 3 | C in octave 4} Zero,C4-interval class 4,0.0,277.0
Chord {D in octave 2 | E in octave 4} Zero,E4-interval class 2,0.0,277.0
Chord {E in octave 3 | C in octave 4 | G in octave 3} Zero,C4-major triad,0.0,277.25
Chord {D in octave 2 | E in octave 4} Zero,E4-interval class 2,0.0,832/3
Chord {C in octave 4 | E in octave 3 | G in octave 3} Zero,C4-major triad,0.0,832/3
Chord {D in octave 2 | E in octave 4} 16th,E4-interval class 2,0.25,277.5
Chord {D in octave 2 | C in octave 2 | E in octave 4} Zero,C2-whole-tone trichord,0.0,277.75
Chord {C in octave 4 | E in octave 3 | G in octave 3} Zero,C4-major triad,0.0,277.75
Chord {D in octave 2 | E in octave 4} Zero,E4-interval class 2,0.0,278.0
Chord {G in octave 3 | E in octave 3} Zero,E3-interval class 3,0.0,278.0
Chord {D in octave 2 | E in octave 4} Zero,E4-interval class 2,0.0,278.25
Chord {E in octave 3 | G in octave 3} Zero,E3-interval class 3,0.0,835/3
Chord {D in octave 2 | E in octave 4} 16th,E4-interval class 2,0.25,278.5
Chord {E in octave 3 | G in octave 3} Zero,E3-interval class 3,0.0,278.75
